S080107-v2.zip 40.60 mins
S080207-v2.zip 31.73 mins
S080307-v2.zip 34.29 mins
S080607-v2.zip 33.42 mins
S080707-v2.zip 0.0 mins(error)
S080807-v2.zip 37.67 mins
S080907-v2.zip 36.47 mins
S081007-v2.zip 38.68 mins
S081307-v2.zip 26.31 mins
S081407-v2.zip 27.11 mins
S081507-v2.zip 31.60 mins
S081607-v2.zip 46.72 mins
S081707-v2.zip 37.18 mins
S082007-v2.zip 29.00 mins
S082107-v2.zip 28.60 mins
S082207-v2.zip 26.53 mins
S082307-v2.zip 26.29 mins
S082407-v2.zip 21.35 mins
S082707-v2.zip 18.87 mins
S082807-v2.zip 24.23 mins
S082907-v2.zip 23.10 mins
S083007-v2.zip 25.94 mins
S083107-v2.zip 22.09 mins
S090307-v2.zip 0.01 mins
S090407-v2.zip 18.98 mins
S090507-v2.zip 24.39 mins
S090607-v2.zip 20.74 mins
S090707-v2.zip 25.34 mins
S091007-v2.zip 24.01 mins
S091107-v2.zip 22.18 mins
S091207-v2.zip 23.06 mins
S091307-v2.zip 21.16 mins
S091407-v2.zip 20.73 mins
S091707-v2.zip 21.41 mins
S091807-v2.zip 26.85 mins
S091907-v2.zip 26.95 mins
S092007-v2.zip 24.93 mins
S092107-v2.zip 20.99 mins
S092407-v2.zip 23.20 mins
S092507-v2.zip 24.01 mins
S092607-v2.zip 23.24 mins
S092707-v2.zip 23.36 mins
S092807-v2.zip 22.04 mins
S100107-v2.zip 24.29 mins
S100207-v2.zip 25.06 mins
S100307-v2.zip 27.16 mins
S100407-v2.zip 30.38 mins
S100507-v2.zip 26.88 mins
S100807-v2.zip 22.14 mins
S100907-v2.zip 28.20 mins
S101007-v2.zip 36.31 mins
S101107-v2.zip 35.33 mins
S101207-v2.zip 27.71 mins
S101507-v2.zip 28.47 mins
S101607-v2.zip 30.04 mins
S101707-v2.zip 34.42 mins
S101807-v2.zip 26.76 mins
S101907-v2.zip 35.59 mins
S102207-v2.zip 33.65 mins
S102307-v2.zip 31.69 mins
S102407-v2.zip 38.83 mins
S102507-v2.zip 36.48 mins
S102607-v2.zip 30.94 mins
S102907-v2.zip 24.78 mins
S103007-v2.zip 24.44 mins
S103107-v2.zip 32.32 mins
S110107-v2.zip 35.52 mins
S110207-v2.zip 41.11 mins
S110507-v2.zip 35.23 mins
S110607-v2.zip 33.40 mins
S110707-v2.zip 40.86 mins
S110807-v2.zip 49.30 mins
S110907-v2.zip 44.19 mins
S111207-v2.zip 36.53 mins
S111307-v2.zip 31.99 mins
S111407-v2.zip 31.31 mins
S111507-v2.zip 34.76 mins
S111607-v2.zip 35.04 mins
S111907-v2.zip 35.36 mins
S112007-v2.zip 40.65 mins
S112107-v2.zip 37.61 mins
S112307-v2.zip 12.64 mins
S112607-v2.zip 33.77 mins
S112707-v2.zip 38.13 mins
S112807-v2.zip 33.48 mins
S112907-v2.zip 32.69 mins
S113007-v2.zip 31.75 mins
S120307-v2.zip 28.12 mins
